"","Effect size","Std.Error"
"1",-0.1885,0.1448
"2",-0.1885,0.1448
"3",0.0325,0.1472
"4",0.0325,0.1472
"5",0.1,0.1415
"6",0.1,0.1415
"7",0.536,0.1431
"8",0.536,0.1431
"9",0.2202,0.1416
"10",0.2202,0.1416
